benchmark,matrix_size,num_threads,block_size,chunk_size,mflops
dmatdmatadd,4222,1,1-1024,20,490.262
dmatdmatadd,4855,1,1-1024,20,499.27
dmatdmatadd,5583,1,1-1024,20,498.422
dmatdmatadd,6420,1,1-1024,20,498.754
dmatdmatadd,7000,1,1-1024,20,499.227
dmatdmatadd,1,1,1-128,1,87.6907
dmatdmatadd,2,1,1-128,1,282.607
dmatdmatadd,3,1,1-128,1,548.511
dmatdmatadd,4,1,1-128,1,481.941
dmatdmatadd,5,1,1-128,1,930.626
dmatdmatadd,6,1,1-128,1,1171.89
dmatdmatadd,7,1,1-128,1,830.018
dmatdmatadd,8,1,1-128,1,1657.69
dmatdmatadd,9,1,1-128,1,1459.39
dmatdmatadd,10,1,1-128,1,1684.41
dmatdmatadd,11,1,1-128,1,1874.88
dmatdmatadd,12,1,1-128,1,2061.67
dmatdmatadd,13,1,1-128,1,1552.94
dmatdmatadd,14,1,1-128,1,1664.31
dmatdmatadd,16,1,1-128,1,2197.99
dmatdmatadd,18,1,1-128,1,1910.6
dmatdmatadd,20,1,1-128,1,2138.56
dmatdmatadd,23,1,1-128,1,2341.6
dmatdmatadd,26,1,1-128,1,2113.7
dmatdmatadd,30,1,1-128,1,2324.11
dmatdmatadd,34,1,1-128,1,2316.0
dmatdmatadd,39,1,1-128,1,1387.99
dmatdmatadd,45,1,1-128,1,1495.83
dmatdmatadd,52,1,1-128,1,1586.71
dmatdmatadd,60,1,1-128,1,1480.65
dmatdmatadd,69,1,1-128,1,1519.37
dmatdmatadd,79,1,1-128,1,1641.01
dmatdmatadd,90,1,1-128,1,1579.13
dmatdmatadd,103,1,1-128,1,1513.13
dmatdmatadd,118,1,1-128,1,1340.63
dmatdmatadd,135,1,1-128,1,1133.27
dmatdmatadd,155,1,1-128,1,1079.61
dmatdmatadd,176,1,1-128,1,1066.28
dmatdmatadd,200,1,1-128,1,568.924
dmatdmatadd,230,1,1-128,1,627.55
dmatdmatadd,264,1,1-128,1,629.525
dmatdmatadd,300,1,1-128,1,688.634
dmatdmatadd,345,1,1-128,1,725.727
dmatdmatadd,396,1,1-128,1,747.306
dmatdmatadd,455,1,1-128,1,794.625
dmatdmatadd,523,1,1-128,1,792.137
dmatdmatadd,600,1,1-128,1,819.399
dmatdmatadd,690,1,1-128,1,817.465
dmatdmatadd,793,1,1-128,1,759.089
dmatdmatadd,912,1,1-128,1,628.984
dmatdmatadd,1048,1,1-128,1,503.472
dmatdmatadd,1200,1,1-128,1,457.178
dmatdmatadd,1380,1,1-128,1,443.777
dmatdmatadd,1587,1,1-128,1,455.104
dmatdmatadd,1825,1,1-128,1,415.689
dmatdmatadd,2100,1,1-128,1,416.383
dmatdmatadd,2415,1,1-128,1,421.285
dmatdmatadd,2777,1,1-128,1,417.795
dmatdmatadd,3193,1,1-128,1,419.367
dmatdmatadd,3672,1,1-128,1,423.295
dmatdmatadd,4222,1,1-128,1,404.312
dmatdmatadd,4855,1,1-128,1,424.411
dmatdmatadd,5583,1,1-128,1,426.164
dmatdmatadd,6420,1,1-128,1,422.405
dmatdmatadd,7000,1,1-128,1,425.069
dmatdmatadd,1,1,1-128,5,87.6903
dmatdmatadd,2,1,1-128,5,282.904
dmatdmatadd,3,1,1-128,5,551.564
dmatdmatadd,4,1,1-128,5,475.897
dmatdmatadd,5,1,1-128,5,930.966
dmatdmatadd,6,1,1-128,5,1172.12
dmatdmatadd,7,1,1-128,5,829.963
dmatdmatadd,8,1,1-128,5,1658.16
dmatdmatadd,9,1,1-128,5,1459.37
dmatdmatadd,10,1,1-128,5,1684.57
dmatdmatadd,11,1,1-128,5,1874.66
dmatdmatadd,12,1,1-128,5,2061.6
dmatdmatadd,13,1,1-128,5,1552.9
dmatdmatadd,14,1,1-128,5,1664.32
dmatdmatadd,16,1,1-128,5,2198.06
dmatdmatadd,18,1,1-128,5,1910.41
dmatdmatadd,20,1,1-128,5,2137.87
dmatdmatadd,23,1,1-128,5,2341.18
dmatdmatadd,26,1,1-128,5,2113.01
dmatdmatadd,30,1,1-128,5,2337.85
dmatdmatadd,34,1,1-128,5,2314.63
dmatdmatadd,39,1,1-128,5,1375.37
dmatdmatadd,45,1,1-128,5,1505.24
dmatdmatadd,52,1,1-128,5,1588.92
dmatdmatadd,60,1,1-128,5,1475.95
dmatdmatadd,69,1,1-128,5,1519.29
dmatdmatadd,79,1,1-128,5,1538.43
dmatdmatadd,90,1,1-128,5,1511.75
dmatdmatadd,103,1,1-128,5,1480.14
dmatdmatadd,118,1,1-128,5,1368.69
dmatdmatadd,135,1,1-128,5,1160.15
dmatdmatadd,155,1,1-128,5,1077.28
dmatdmatadd,176,1,1-128,5,1066.79
dmatdmatadd,200,1,1-128,5,570.904
dmatdmatadd,230,1,1-128,5,628.842
dmatdmatadd,264,1,1-128,5,630.86
dmatdmatadd,300,1,1-128,5,692.902
dmatdmatadd,345,1,1-128,5,726.974
dmatdmatadd,396,1,1-128,5,748.55
dmatdmatadd,455,1,1-128,5,795.612
dmatdmatadd,523,1,1-128,5,793.317
dmatdmatadd,600,1,1-128,5,839.617
dmatdmatadd,690,1,1-128,5,808.727
dmatdmatadd,793,1,1-128,5,763.756
dmatdmatadd,912,1,1-128,5,622.025
dmatdmatadd,1048,1,1-128,5,506.346
dmatdmatadd,1200,1,1-128,5,459.105
dmatdmatadd,1380,1,1-128,5,444.87
dmatdmatadd,1587,1,1-128,5,455.584
dmatdmatadd,1825,1,1-128,5,414.922
dmatdmatadd,2100,1,1-128,5,416.512
dmatdmatadd,2415,1,1-128,5,420.693
dmatdmatadd,2777,1,1-128,5,417.813
dmatdmatadd,3193,1,1-128,5,419.505
dmatdmatadd,3672,1,1-128,5,423.375
dmatdmatadd,4222,1,1-128,5,404.289
dmatdmatadd,4855,1,1-128,5,424.295
dmatdmatadd,5583,1,1-128,5,425.929
dmatdmatadd,6420,1,1-128,5,422.045
dmatdmatadd,7000,1,1-128,5,424.763
dmatdmatadd,1,1,1-128,10,87.6739
dmatdmatadd,2,1,1-128,10,282.968
dmatdmatadd,3,1,1-128,10,544.988
dmatdmatadd,4,1,1-128,10,481.9
dmatdmatadd,5,1,1-128,10,930.761
dmatdmatadd,6,1,1-128,10,1171.91
dmatdmatadd,7,1,1-128,10,830.006
dmatdmatadd,8,1,1-128,10,1657.65
dmatdmatadd,9,1,1-128,10,1459.28
dmatdmatadd,10,1,1-128,10,1683.2
dmatdmatadd,11,1,1-128,10,1873.53
dmatdmatadd,12,1,1-128,10,2061.66
dmatdmatadd,13,1,1-128,10,1552.93
dmatdmatadd,14,1,1-128,10,1664.38
dmatdmatadd,16,1,1-128,10,2198.19
dmatdmatadd,18,1,1-128,10,1910.57
dmatdmatadd,20,1,1-128,10,2138.53
dmatdmatadd,23,1,1-128,10,2341.65
dmatdmatadd,26,1,1-128,10,2113.28
dmatdmatadd,30,1,1-128,10,2335.28
dmatdmatadd,34,1,1-128,10,2314.28
dmatdmatadd,39,1,1-128,10,1376.79
dmatdmatadd,45,1,1-128,10,1492.64
dmatdmatadd,52,1,1-128,10,1583.78
dmatdmatadd,60,1,1-128,10,1476.73
dmatdmatadd,69,1,1-128,10,1515.89
dmatdmatadd,79,1,1-128,10,1632.5
dmatdmatadd,90,1,1-128,10,1524.76
dmatdmatadd,103,1,1-128,10,1516.29
dmatdmatadd,118,1,1-128,10,1348.32
dmatdmatadd,135,1,1-128,10,1122.21
dmatdmatadd,155,1,1-128,10,1088.35
dmatdmatadd,176,1,1-128,10,1066.5
dmatdmatadd,200,1,1-128,10,571.685
dmatdmatadd,230,1,1-128,10,629.644
dmatdmatadd,264,1,1-128,10,632.373
dmatdmatadd,300,1,1-128,10,690.427
dmatdmatadd,345,1,1-128,10,727.548
dmatdmatadd,396,1,1-128,10,748.568
dmatdmatadd,455,1,1-128,10,796.028
dmatdmatadd,523,1,1-128,10,793.369
dmatdmatadd,600,1,1-128,10,835.381
dmatdmatadd,690,1,1-128,10,831.935
dmatdmatadd,793,1,1-128,10,764.913
dmatdmatadd,912,1,1-128,10,619.023
dmatdmatadd,1048,1,1-128,10,505.407
dmatdmatadd,1200,1,1-128,10,458.401
dmatdmatadd,1380,1,1-128,10,444.32
dmatdmatadd,1587,1,1-128,10,455.484
dmatdmatadd,1825,1,1-128,10,415.191
dmatdmatadd,2100,1,1-128,10,416.72
dmatdmatadd,2415,1,1-128,10,420.986
dmatdmatadd,2777,1,1-128,10,418.12
dmatdmatadd,3193,1,1-128,10,419.87
dmatdmatadd,3672,1,1-128,10,423.171
dmatdmatadd,4222,1,1-128,10,403.931
dmatdmatadd,4855,1,1-128,10,424.812
dmatdmatadd,5583,1,1-128,10,426.453
dmatdmatadd,6420,1,1-128,10,422.538
dmatdmatadd,7000,1,1-128,10,424.778
dmatdmatadd,1,1,1-128,15,87.6858
dmatdmatadd,2,1,1-128,15,283.51
dmatdmatadd,3,1,1-128,15,546.361
dmatdmatadd,4,1,1-128,15,843.625
dmatdmatadd,5,1,1-128,15,933.604
dmatdmatadd,6,1,1-128,15,1173.01
dmatdmatadd,7,1,1-128,15,1414.05
dmatdmatadd,8,1,1-128,15,1662.64
dmatdmatadd,9,1,1-128,15,1497.45
dmatdmatadd,10,1,1-128,15,1685.06
dmatdmatadd,11,1,1-128,15,1875.28
dmatdmatadd,12,1,1-128,15,2061.85
dmatdmatadd,13,1,1-128,15,1552.9
dmatdmatadd,14,1,1-128,15,1664.24
dmatdmatadd,16,1,1-128,15,2197.95
dmatdmatadd,18,1,1-128,15,1910.25
dmatdmatadd,20,1,1-128,15,2138.53
dmatdmatadd,23,1,1-128,15,2341.92
dmatdmatadd,26,1,1-128,15,2101.8
dmatdmatadd,30,1,1-128,15,2334.39
dmatdmatadd,34,1,1-128,15,2313.92
dmatdmatadd,39,1,1-128,15,1381.67
dmatdmatadd,45,1,1-128,15,1502.51
dmatdmatadd,52,1,1-128,15,1589.83
dmatdmatadd,60,1,1-128,15,1482.48
dmatdmatadd,69,1,1-128,15,1517.29
dmatdmatadd,79,1,1-128,15,1630.4
dmatdmatadd,90,1,1-128,15,1545.63
dmatdmatadd,103,1,1-128,15,1508.45
dmatdmatadd,118,1,1-128,15,1391.1
dmatdmatadd,135,1,1-128,15,1117.38
dmatdmatadd,155,1,1-128,15,1077.49
dmatdmatadd,176,1,1-128,15,1066.7
dmatdmatadd,200,1,1-128,15,570.363
dmatdmatadd,230,1,1-128,15,629.295
dmatdmatadd,264,1,1-128,15,633.11
dmatdmatadd,300,1,1-128,15,693.338
dmatdmatadd,345,1,1-128,15,725.586
dmatdmatadd,396,1,1-128,15,748.648
dmatdmatadd,455,1,1-128,15,794.954
dmatdmatadd,523,1,1-128,15,792.307
dmatdmatadd,600,1,1-128,15,822.617
dmatdmatadd,690,1,1-128,15,820.697
dmatdmatadd,793,1,1-128,15,748.138
dmatdmatadd,912,1,1-128,15,618.087
dmatdmatadd,1048,1,1-128,15,505.237
dmatdmatadd,1200,1,1-128,15,457.839
dmatdmatadd,1380,1,1-128,15,444.23
dmatdmatadd,1587,1,1-128,15,454.711
dmatdmatadd,1825,1,1-128,15,415.982
dmatdmatadd,2100,1,1-128,15,416.756
dmatdmatadd,2415,1,1-128,15,421.368
dmatdmatadd,2777,1,1-128,15,418.989
dmatdmatadd,3193,1,1-128,15,373.242
dmatdmatadd,3672,1,1-128,15,423.382
dmatdmatadd,4222,1,1-128,15,405.159
dmatdmatadd,4855,1,1-128,15,425.0
dmatdmatadd,5583,1,1-128,15,426.873
dmatdmatadd,6420,1,1-128,15,422.993
dmatdmatadd,7000,1,1-128,15,425.434
dmatdmatadd,1,1,1-128,20,87.6707
dmatdmatadd,2,1,1-128,20,282.416
