runtime,node,benchmark,matrix_size,num_threads,block_size_row,block_size_col,num_elements,num_elements_uncomplete,chunk_size,grain_size,num_blocks,num_blocks/chunk_size,num_elements*chunk_size,num_blocks/num_threads,num_blocks/(chunk_size*(num_threads-1)),L1cache,L2cache,L3cache,cache_line,set_associativity,datatype,cost,simd_size,execution_time,num_tasks,mflops
openmp,marvin,dmatdmatadd,264,1,32,256,8192,256,18,76032,18,1.0,147456,18.0,0,32768,262144,20971520,8,512,8,55296.0,4,68.1950274459154,1.0,1022.01
openmp,marvin,dmatdmatadd,300,1,32,256,8192,1408,20,96000,20,1.0,163840,20.0,0,32768,262144,20971520,8,512,8,61440.0,4,88.10486436745602,1.0,1021.51
openmp,marvin,dmatdmatadd,345,1,32,256,8192,2848,22,121440,22,1.0,180224,22.0,0,32768,262144,20971520,8,512,8,67584.0,4,120.22634766206691,1.0,1007.3
openmp,marvin,dmatdmatadd,396,1,32,256,8192,4480,26,164736,26,1.0,212992,26.0,0,32768,262144,20971520,8,512,8,79872.0,4,151.1362979240155,1.0,1037.58
openmp,marvin,dmatdmatadd,455,1,32,256,8192,6368,30,218400,30,1.0,245760,30.0,0,32768,262144,20971520,8,512,8,92160.0,4,201.11615130910812,1.0,1033.91
openmp,marvin,dmatdmatadd,523,1,32,256,8192,352,51,284512,51,1.0,417792,51.0,0,32768,262144,20971520,8,512,8,156672.0,4,270.0791816259283,1.0,1016.65
openmp,marvin,dmatdmatadd,600,1,32,256,8192,2816,57,364800,57,1.0,466944,57.0,0,32768,262144,20971520,8,512,8,175104.0,4,348.84058954059634,1.0,1031.99
openmp,marvin,dmatdmatadd,690,1,32,256,8192,5696,66,485760,66,1.0,540672,66.0,0,32768,262144,20971520,8,512,8,202752.0,4,465.1287480695075,1.0,1029.53
openmp,marvin,dmatdmatadd,793,1,32,256,8192,800,100,634400,100,1.0,819200,100.0,0,32768,262144,20971520,8,512,8,307200.0,4,713.5122474167365,1.0,888.024
openmp,marvin,dmatdmatadd,912,1,32,256,8192,4608,116,846336,116,1.0,950272,116.0,0,32768,262144,20971520,8,512,8,356352.0,4,1190.5493958106101,1.0,698.622
openmp,marvin,dmatdmatadd,1048,1,32,256,8192,768,165,1106688,165,1.0,1351680,165.0,0,32768,262144,20971520,8,512,8,506880.0,4,2155.5871760399596,1.0,509.515
openmp,marvin,dmatdmatadd,1200,1,32,256,8192,5632,190,1459200,190,1.0,1556480,190.0,0,32768,262144,20971520,8,512,8,583680.0,4,3037.6350323697984,1.0,474.053
openmp,marvin,dmatdmatadd,1380,1,32,256,8192,3200,264,1943040,264,1.0,2162688,264.0,0,32768,262144,20971520,8,512,8,811008.0,4,4185.319733901221,1.0,455.019
openmp,marvin,dmatdmatadd,1587,1,32,256,8192,1632,350,2539200,350,1.0,2867200,350.0,0,32768,262144,20971520,8,512,8,1075200.0,4,5572.237628575532,1.0,452.555
openmp,marvin,dmatdmatadd,200,1,32,512,6400,0,7,44800,7,1.0,44800,7.0,0,32768,262144,20971520,8,512,8,16800.0,4,37.858711289467706,1.0,1056.56
openmp,marvin,dmatdmatadd,230,1,32,512,7424,0,8,59392,8,1.0,59392,8.0,0,32768,262144,20971520,8,512,8,22272.0,4,51.020427508412716,1.0,1054.95
openmp,marvin,dmatdmatadd,264,1,32,512,8448,0,9,76032,9,1.0,76032,9.0,0,32768,262144,20971520,8,512,8,28512.0,4,65.5764851997516,1.0,1062.82
openmp,marvin,dmatdmatadd,300,1,32,512,9600,0,10,96000,10,1.0,96000,10.0,0,32768,262144,20971520,8,512,8,36000.0,4,84.55308994569812,1.0,1064.42
openmp,marvin,dmatdmatadd,345,1,32,512,11136,0,11,122496,11,1.0,122496,11.0,0,32768,262144,20971520,8,512,8,45936.0,4,116.53467537841244,1.0,1039.21
openmp,marvin,dmatdmatadd,396,1,32,512,12672,0,13,164736,13,1.0,164736,13.0,0,32768,262144,20971520,8,512,8,61776.0,4,148.31320401388405,1.0,1057.33
openmp,marvin,dmatdmatadd,455,1,32,512,14592,0,15,218880,15,1.0,218880,15.0,0,32768,262144,20971520,8,512,8,82080.0,4,195.76895918655555,1.0,1062.15
openmp,marvin,dmatdmatadd,523,1,32,512,16384,352,34,284512,34,1.0,557056,34.0,0,32768,262144,20971520,8,512,8,208896.0,4,266.0310816571717,1.0,1032.12
openmp,marvin,dmatdmatadd,600,1,32,512,16384,2816,38,364800,38,1.0,622592,38.0,0,32768,262144,20971520,8,512,8,233472.0,4,345.1912935084859,1.0,1042.9
openmp,marvin,dmatdmatadd,690,1,32,512,16384,5696,44,485760,44,1.0,720896,44.0,0,32768,262144,20971520,8,512,8,270336.0,4,465.1558568972384,1.0,1029.47
openmp,marvin,dmatdmatadd,793,1,32,512,16384,8992,50,634400,50,1.0,819200,50.0,0,32768,262144,20971520,8,512,8,307200.0,4,685.2962457832524,1.0,924.587
openmp,marvin,dmatdmatadd,912,1,32,512,16384,12800,58,846336,58,1.0,950272,58.0,0,32768,262144,20971520,8,512,8,356352.0,4,1185.5821902675366,1.0,701.549
openmp,marvin,dmatdmatadd,1048,1,32,512,16384,768,99,1106688,99,1.0,1622016,99.0,0,32768,262144,20971520,8,512,8,608256.0,4,2035.2493602228149,1.0,539.641
openmp,marvin,dmatdmatadd,1200,1,32,512,16384,5632,114,1459200,114,1.0,1867776,114.0,0,32768,262144,20971520,8,512,8,700416.0,4,2955.36778936437,1.0,487.249
openmp,marvin,dmatdmatadd,1380,1,32,512,16384,11392,132,1943040,132,1.0,2162688,132.0,0,32768,262144,20971520,8,512,8,811008.0,4,4028.404439621528,1.0,472.743
openmp,marvin,dmatdmatadd,1587,1,32,512,16384,1632,200,2539200,200,1.0,3276800,200.0,0,32768,262144,20971520,8,512,8,1228800.0,4,5344.331085462876,1.0,471.854
