benchmark,matrix_size,num_threads,block_size_row,block_size_col,num_elements,chunk_size,num_blocks,mflops,num_blocks/chunk_size,num_elements*chunk_size,num_blocks/num_threads,num_blocks/(chunk_size*(num_threads-1))
dmatdmatadd,455,1,4,512,1820,90,114,968.323,1.2666666666666666,163800,114.0,NA
dmatdmatadd,455,1,4,512,1820,100,114,969.658,1.14,182000,114.0,NA
dmatdmatadd,455,1,4,512,1820,114,114,998.926,1.0,207480,114.0,NA
dmatdmatadd,455,1,64,64,4096,40,64,912.191,1.6,163840,64.0,NA
dmatdmatadd,455,1,64,64,4096,50,64,908.672,1.28,204800,64.0,NA
dmatdmatadd,455,1,64,64,4096,60,64,916.54,1.0666666666666667,245760,64.0,NA
dmatdmatadd,455,1,64,64,4096,64,64,949.336,1.0,262144,64.0,NA
dmatdmatadd,455,1,8,1024,3640,10,57,907.418,5.7,36400,57.0,NA
dmatdmatadd,455,1,8,1024,3640,20,57,954.366,2.85,72800,57.0,NA
dmatdmatadd,455,1,8,1024,3640,30,57,976.781,1.9,109200,57.0,NA
dmatdmatadd,455,1,8,1024,3640,40,57,974.339,1.425,145600,57.0,NA
dmatdmatadd,455,1,8,1024,3640,50,57,974.004,1.14,182000,57.0,NA
dmatdmatadd,455,1,8,1024,3640,57,57,1001.64,1.0,207480,57.0,NA
dmatdmatadd,455,1,8,512,3640,20,57,957.034,2.85,72800,57.0,NA
dmatdmatadd,455,1,8,512,3640,30,57,972.251,1.9,109200,57.0,NA
dmatdmatadd,455,1,8,512,3640,40,57,972.03,1.425,145600,57.0,NA
dmatdmatadd,455,1,8,512,3640,50,57,973.797,1.14,182000,57.0,NA
dmatdmatadd,455,1,8,512,3640,57,57,1004.45,1.0,207480,57.0,NA
dmatdmatadd,523,1,12,1024,6276,7,44,931.686,6.285714285714286,43932,44.0,NA
dmatdmatadd,523,1,12,1024,6276,8,44,941.361,5.5,50208,44.0,NA
dmatdmatadd,523,1,12,1024,6276,9,44,954.663,4.888888888888889,56484,44.0,NA
dmatdmatadd,523,1,12,1024,6276,10,44,955.386,4.4,62760,44.0,NA
dmatdmatadd,523,1,12,1024,6276,20,44,981.249,2.2,125520,44.0,NA
