runtime,node,benchmark,matrix_size,num_threads,block_size_row,block_size_col,num_elements,work_per_core,w1,w2,w3,w4,w5,w6,w7,w8,chunk_size,grain_size,num_blocks,num_blocks/chunk_size,num_elements*chunk_size,num_blocks/num_threads,num_blocks/(chunk_size*(num_threads-1)),L1cache,L2cache,L3cache,cache_line,set_associativity,datatype,cost,simd_size,execution_time,num_tasks,mflops
hpx,ws_marvin,dmatdmatadd,7000,1,4,1024,4096,49000000,49000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,80576,12250,612.5,81920,12250.0,0,32768,262144,20971520,8,512,8,30720.0,4,112810.17041242478,613.0,434.358
hpx,ws_marvin,dmatdmatadd,690,1,4,1024,2768,477480,477480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,83040,173,5.766666666666667,83040,173.0,0,32768,262144,20971520,8,512,8,31140.0,4,488.7090682614432,6.0,977.023
hpx,ws_marvin,dmatdmatadd,4222,1,4,1024,4096,17833728,17833728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,101376,5280,176.0,122880,5280.0,0,32768,262144,20971520,8,512,8,46080.0,4,48773.07348344168,176.0,365.647
hpx,ws_marvin,dmatdmatadd,6420,1,4,1024,4096,41216400,41216400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,110912,11235,374.5,122880,11235.0,0,32768,262144,20971520,8,512,8,46080.0,4,97867.94509228457,375.0,421.143
hpx,ws_marvin,dmatdmatadd,7000,1,4,1024,4096,49000000,49000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,120192,12250,408.3333333333333,122880,12250.0,0,32768,262144,20971520,8,512,8,46080.0,4,112451.60564828351,409.0,435.743
hpx,ws_marvin,dmatdmatadd,690,1,4,1024,2768,477480,477480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,110720,173,4.325,110720,173.0,0,32768,262144,20971520,8,512,8,41520.0,4,487.1578784125436,5.0,980.134
hpx,ws_marvin,dmatdmatadd,4222,1,4,1024,4096,17833728,17833728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,135168,5280,132.0,163840,5280.0,0,32768,262144,20971520,8,512,8,61440.0,4,48342.20099429123,132.0,368.906
hpx,ws_marvin,dmatdmatadd,6420,1,4,1024,4096,41216400,41216400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,148880,11235,280.875,163840,11235.0,0,32768,262144,20971520,8,512,8,61440.0,4,95258.8298919751,281.0,432.678
hpx,ws_marvin,dmatdmatadd,7000,1,4,1024,4096,49000000,49000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,160480,12250,306.25,163840,12250.0,0,32768,262144,20971520,8,512,8,61440.0,4,111796.33901213104,307.0,438.297
hpx,ws_marvin,dmatdmatadd,690,1,4,1024,2768,477480,477480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,138400,173,3.46,138400,173.0,0,32768,262144,20971520,8,512,8,51900.0,4,478.36737147408445,4.0,998.145
hpx,ws_marvin,dmatdmatadd,4222,1,4,1024,4096,17833728,17833728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,168960,5280,105.6,204800,5280.0,0,32768,262144,20971520,8,512,8,76800.0,4,48131.100819380124,106.0,370.524
hpx,ws_marvin,dmatdmatadd,6420,1,4,1024,4096,41216400,41216400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,183856,11235,224.7,204800,11235.0,0,32768,262144,20971520,8,512,8,76800.0,4,92711.96048263017,225.0,444.564
hpx,ws_marvin,dmatdmatadd,7000,1,4,1024,4096,49000000,49000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,200096,12250,245.0,204800,12250.0,0,32768,262144,20971520,8,512,8,76800.0,4,110476.31072251507,245.0,443.534
hpx,ws_marvin,dmatdmatadd,690,1,4,1024,2768,477480,477480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,166080,173,2.8833333333333333,166080,173.0,0,32768,262144,20971520,8,512,8,62280.0,4,478.6267897883328,3.0,997.604
